Date,Open,High,Low,Close,Volume,AdjustedClose
20200615,3040.000,3050.000,2890.000,2900.000,230766700,2829.236
20200616,2970.000,3150.000,2960.000,3130.000,338682000,3053.624
20200617,3200.000,3200.000,3080.000,3100.000,218180800,3024.356
20200618,3050.000,3120.000,3040.000,3050.000,130942600,2975.576
20200619,3080.000,3110.000,3060.000,3100.000,166932000,3024.356
20200622,3100.000,3110.000,3030.000,3060.000,95377000,2985.332
20200623,3020.000,3060.000,2980.000,3010.000,171421500,2936.552
20200624,3050.000,3140.000,3010.000,3120.000,308484300,3043.868
20200625,3100.000,3110.000,3040.000,3060.000,158209300,2985.332
20200626,3100.000,3120.000,3020.000,3030.000,147306200,2956.064
20200629,3040.000,3060.000,2980.000,3040.000,118809900,2965.820
20200630,3070.000,3110.000,3030.000,3030.000,134014700,2956.064
20200701,3040.000,3070.000,3030.000,3060.000,101290700,2985.332
20200702,3090.000,3090.000,3040.000,3060.000,169484600,2985.332
20200703,3060.000,3090.000,3040.000,3050.000,49472800,2975.576
20200706,3070.000,3100.000,3030.000,3040.000,134677700,2965.820
20200707,3070.000,3080.000,3030.000,3030.000,207371700,2956.064
20200708,3040.000,3200.000,3030.000,3190.000,339667600,3112.160
20200709,3190.000,3230.000,3140.000,3140.000,192182300,3063.380
20200710,3130.000,3150.000,3100.000,3110.000,107116200,3034.112
20200713,3130.000,3180.000,3050.000,3160.000,95863700,3082.892
20200714,3160.000,3250.000,3130.000,3170.000,211237700,3092.648
20200715,3200.000,3240.000,3130.000,3130.000,165721200,3053.624
20200716,3130.000,3160.000,3130.000,3140.000,117097200,3063.380
20200717,3140.000,3150.000,3100.000,3100.000,119587700,3024.356
20200720,3100.000,3130.000,3030.000,3040.000,115830300,2965.820
20200721,3050.000,3180.000,3050.000,3150.000,204157000,3073.136
20200722,3160.000,3170.000,3090.000,3100.000,173557500,3024.356
20200723,3120.000,3160.000,3100.000,3140.000,147857700,3063.380
20200724,3130.000,3140.000,3090.000,3090.000,94805600,3014.600
20200727,3090.000,3150.000,3090.000,3150.000,94516900,3073.136
20200728,3160.000,3170.000,3100.000,3140.000,103419800,3063.380
20200729,3140.000,3150.000,3100.000,3120.000,67176700,3043.868
20200730,3130.000,3170.000,3110.000,3160.000,78478700,3082.892
20200803,3170.000,3180.000,2970.000,2990.000,339279900,2917.040
20200804,3000.000,3080.000,3000.000,3080.000,156288000,3004.844
20200805,3100.000,3110.000,3040.000,3080.000,161496000,3004.844
20200806,3100.000,3130.000,3090.000,3110.000,114602400,3034.112
20200807,3110.000,3130.000,3060.000,3110.000,89917300,3034.112
20200810,3110.000,3150.000,3100.000,3130.000,91465200,3053.624
20200811,3130.000,3220.000,3130.000,3190.000,172459100,3112.160
20200812,3190.000,3370.000,3190.000,3350.000,459419200,3268.256
20200813,3350.000,3450.000,3300.000,3330.000,214222600,3248.744
20200814,3330.000,3350.000,3280.000,3340.000,99152200,3258.500
20200818,3340.000,3530.000,3340.000,3520.000,262001000,3434.107
20200819,3520.000,3640.000,3520.000,3560.000,217533000,3473.131
20200824,3530.000,3650.000,3520.000,3640.000,194972300,3551.179
20200825,3670.000,3800.000,3640.000,3800.000,179300000,3707.275
20200826,3800.000,3820.000,3700.000,3740.000,161962800,3648.739
20200827,3740.000,3780.000,3660.000,3700.000,187984900,3609.715
20200828,3710.000,3740.000,3650.000,3690.000,77888200,3599.959
20200831,3700.000,3740.000,3500.000,3510.000,266042400,3424.351
20200901,3550.000,3630.000,3480.000,3610.000,196959300,3521.911
20200902,3620.000,3660.000,3590.000,3660.000,106924600,3570.691
20200903,3660.000,3690.000,3550.000,3580.000,179612400,3492.643
20200904,3610.000,3610.000,3480.000,3550.000,134555700,3463.375
20200907,3550.000,3570.000,3500.000,3510.000,94814200,3424.351
20200908,3510.000,3570.000,3510.000,3520.000,81381900,3434.107
20200909,3480.000,3490.000,3380.000,3410.000,178435500,3326.791
20200910,3300.000,3300.000,3180.000,3180.000,277847900,3102.404
20200911,3020.000,3310.000,3010.000,3250.000,583497600,3170.696
20200914,3300.000,3450.000,3300.000,3440.000,275888700,3356.059
20200915,3440.000,3460.000,3310.000,3330.000,195531100,3248.744
20200916,3370.000,3390.000,3240.000,3260.000,138529300,3180.452
20200917,3270.000,3310.000,3170.000,3200.000,167611400,3121.916
20200918,3200.000,3270.000,3190.000,3220.000,202880500,3141.428
20200921,3200.000,3250.000,3150.000,3190.000,114168800,3112.160
20200922,3110.000,3190.000,3100.000,3130.000,134585500,3053.624
20200923,3170.000,3180.000,3050.000,3080.000,120607900,3004.844
20200924,3030.000,3080.000,3010.000,3030.000,164151300,2956.064
20200925,3060.000,3180.000,3040.000,3160.000,169418100,3082.892
20200928,3180.000,3230.000,3080.000,3090.000,135465800,3014.600
20200929,3120.000,3160.000,3020.000,3040.000,182697100,2965.820
20200930,3060.000,3080.000,3000.000,3040.000,167835700,2965.820
20201001,3090.000,3170.000,3060.000,3160.000,130031000,3082.892
20201002,3180.000,3210.000,3060.000,3100.000,157063600,3024.356
20201005,3160.000,3170.000,3110.000,3160.000,92722900,3082.892
20201006,3220.000,3240.000,3180.000,3190.000,120816800,3112.160
20201007,3160.000,3170.000,3080.000,3120.000,288740100,3043.868
20201008,3150.000,3170.000,3110.000,3150.000,123924000,3073.136
20201009,3150.000,3170.000,3120.000,3150.000,81127400,3073.136
20201012,3160.000,3210.000,3150.000,3190.000,156519700,3112.160
20201013,3190.000,3300.000,3150.000,3280.000,204438200,3199.964
20201014,3300.000,3380.000,3290.000,3360.000,193879700,3278.012
20201015,3360.000,3380.000,3310.000,3310.000,183294800,3229.232
20201016,3340.000,3360.000,3210.000,3250.000,140443600,3170.696
20201019,3260.000,3290.000,3230.000,3280.000,96199300,3199.964
20201020,3280.000,3290.000,3210.000,3250.000,134038300,3170.696
20201021,3280.000,3310.000,3230.000,3240.000,116981800,3160.940
